County,Stroke_IR
"Avoyelles Parish County,  Louisiana",121.9
"Baca County,  Colorado",62.7
"Bacon County,  Georgia",101.5
"Bailey County,  Texas",73
"Baker County,  Florida",79.8
"Baker County,  Georgia",98.8
"Baker County,  Oregon",69
"Baldwin County,  Alabama",80.9
"Baldwin County,  Georgia",83.3
"Ballard County,  Kentucky",78.9
"Baltimore City County,  Maryland",106.3
"Baltimore County,  Maryland",83.2
"Bamberg County,  South Carolina",111.8
"Bandera County,  Texas",77.6
"Banks County,  Georgia",103.8
"Banner County,  Nebraska",58.7
"Bannock County,  Idaho",87.9
"Baraga County,  Michigan",101.1
"Barber County,  Kansas",72.5
"Barbour County,  Alabama",94.9
"Barbour County,  West Virginia",82.8
"Anasco Municipio County,  Puerto Rico",46.6
"Barnes County,  North Dakota",62.3
"Barnstable County,  Massachusetts",56.6
"Barnwell County,  South Carolina",82.8
"Arecibo Municipio County,  Puerto Rico",53.9
"Barren County,  Kentucky",99.2
"Barron County,  Wisconsin",71.5
"Barrow County,  Georgia",78.4
"Barry County,  Michigan",64.6
"Barry County,  Missouri",77.3
"Bartholomew County,  Indiana",78.9
"Barton County,  Kansas",81
"Barton County,  Missouri",98.1
"Bartow County,  Georgia",92.7
"Bastrop County,  Texas",69.6
"Bates County,  Missouri",80.6
"Bath County,  Kentucky",121.4
"Bath County,  Virginia",69.1
"Baxter County,  Arkansas",77.9
"Bay County,  Florida",64.4
"Bay County,  Michigan",59.9
"Arroyo Municipio County,  Puerto Rico",62.4
"Bayfield County,  Wisconsin",76
"Baylor County,  Texas",108.2
"Beadle County,  South Dakota",82.8
"Bear Lake County,  Idaho",65.5
"Beaufort County,  North Carolina",87.7
"Beaufort County,  South Carolina",53.7
"Beauregard Parish County,  Louisiana",118.4
"Beaver County,  Oklahoma",68.8
"Beaver County,  Pennsylvania",73.4
"Beaver County,  Utah",78.3
"Beaverhead County,  Montana",51
"Becker County,  Minnesota",69.7
"Beckham County,  Oklahoma",76.3
"Bedford City County,  Virginia",0
"Bedford County,  Pennsylvania",0.000744
"Bedford County,  Tennessee",0.000896
"Bedford County,  Virginia",0.000772
"Bee County,  Texas",0.000875
"Belknap County,  New Hampshire",0.000564
"Bell County,  Kentucky",0.000978
"Bell County,  Texas",0.00075
"Belmont County,  Ohio",0.000733
"Beltrami County,  Minnesota",0.000592
