Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
2002,Kentucky,Leukemias,12.5,11.4,13.6,511,4089875
2002,Massachusetts,Leukemias,12.1,11.2,12.9,813,6417206
2002,North Dakota,Leukemias,12,9.6,14.8,87,638168
2002,Ohio,Leukemias,12.5,11.9,13.2,1495,11407889
2002,Oregon,Leukemias,11.9,10.8,13.1,431,3513424
2002,West Virginia,Leukemias,11.7,10.3,13.3,243,1805414
2002,Colorado,Leukemias,13.3,12.2,14.5,514,4490406
2002,Connecticut,Leukemias,13.6,12.4,14.8,503,3458749
2002,Louisiana,Leukemias,13.2,12.2,14.4,566,4497267
2002,Michigan,Leukemias,13.5,12.8,14.2,1346,10015710
2002,Missouri,Leukemias,12.9,12,13.8,767,5674825
2002,New Jersey,Leukemias,13.9,13.1,14.7,1232,8552643
2002,New York,Leukemias,13.4,12.9,13.9,2634,19137800
2002,Oklahoma,Leukemias,13.5,12.3,14.7,483,3489080
2002,Pennsylvania,Leukemias,13.5,12.9,14.1,1905,12331031
2002,Rhode Island,Leukemias,13.4,11.4,15.7,155,1065995
2002,South Carolina,Leukemias,13.8,12.7,15,559,4107795
2002,Utah,Leukemias,13.7,12,15.6,247,2324815
2002,Wyoming,Leukemias,13,10,16.7,64,500017
2002,Florida,Leukemias,14.4,13.8,14.9,2910,16689370
2002,Idaho,Leukemias,15.4,13.3,17.7,195,1340372
2002,Illinois,Leukemias,14.7,14,15.4,1796,12525556
2002,Indiana,Leukemias,14.8,13.9,15.8,911,6155967
2002,Iowa,Leukemias,16.3,14.9,17.7,539,2934234
2002,Kansas,Leukemias,14.2,12.9,15.7,400,2713535
2002,Maine,Leukemias,14.8,12.9,16.9,214,1295960
2002,Minnesota,Leukemias,14.5,13.5,15.6,716,5018935
2002,Mississippi,Leukemias,null,null,null,Data Suppressed,null
2002,Montana,Leukemias,14.5,12.2,17.1,141,911667
2002,Nebraska,Leukemias,14.8,13,16.6,268,1728292
2002,New Hampshire,Leukemias,14.8,12.7,17.1,186,1269089
2002,New Mexico,Leukemias,14.6,12.9,16.5,265,1855309
2002,South Dakota,Leukemias,15.2,12.7,18.2,125,760020
2002,Texas,Leukemias,14.5,14,15.1,2705,21690325
2002,Vermont,Leukemias,14.4,11.6,17.6,92,615442
2002,Washington,Leukemias,14.5,13.5,15.5,837,6052349
2002,Wisconsin,Leukemias,15.2,14.2,16.3,853,5445162
2003,Delaware,Leukemias,8.4,6.5,10.6,70,818003
2003,Alaska,Leukemias,9.6,6.9,13,48,648414
2003,Alabama,Leukemias,10.4,9.5,11.4,487,4503491
2003,Oregon,Leukemias,10.7,9.7,11.9,395,3547376
2003,Tennessee,Leukemias,10.2,9.4,11.1,607,5847812
2003,Arizona,Leukemias,11.1,10.3,12,619,5510364
2003,District of Columbia,Leukemias,10.8,8.2,13.9,60,568502
2003,Hawaii,Leukemias,11.5,9.7,13.5,151,1251154
2003,Maryland,Leukemias,11.2,10.3,12.1,586,5496269
2003,North Carolina,Leukemias,11.4,10.7,12.1,950,8422501
2003,Virginia,Leukemias,11.2,10.5,12,785,7366977
2003,California,Leukemias,12.5,12.1,12.9,4042,35253159
2003,Massachusetts,Leukemias,12.6,11.7,13.4,855,6422565
2003,Mississippi,Leukemias,11.8,10.5,13.1,332,2868312
2003,Ohio,Leukemias,12.3,11.7,12.9,1477,11434788
2003,Arkansas,Leukemias,13.5,12.2,14.9,394,2724816
2003,Colorado,Leukemias,13.8,12.6,15,542,4528732
2003,Georgia,Leukemias,13.6,12.7,14.4,1007,8622793
2003,Indiana,Leukemias,13.3,12.4,14.2,826,6196638
2003,Louisiana,Leukemias,12.8,11.8,13.9,554,4521042
2003,Maine,Leukemias,13.4,11.6,15.5,197,1306513
2003,Michigan,Leukemias,13.8,13.1,14.6,1398,10041152
2003,Missouri,Leukemias,13.2,12.3,14.1,791,5709403
2003,Nevada,Leukemias,13.3,11.7,15,274,2248850
2003,New Mexico,Leukemias,13.4,11.8,15.2,248,1877574
2003,Pennsylvania,Leukemias,13.8,13.2,14.5,1970,12374658
2003,Rhode Island,Leukemias,12.9,10.9,15.2,151,1071342
2003,South Carolina,Leukemias,13.2,12.1,14.3,540,4150297
2003,South Dakota,Leukemias,13.9,11.5,16.8,113,763729
2003,Utah,Leukemias,12.8,11.2,14.6,240,2360137
2003,West Virginia,Leukemias,13.1,11.6,14.8,277,1812295
2003,Wyoming,Leukemias,13.1,10.1,16.7,66,503453
2003,Connecticut,Leukemias,14.2,13,15.5,534,3484336
2003,Florida,Leukemias,14.6,14.1,15.2,3010,17004085
2003,Idaho,Leukemias,16.5,14.4,18.9,214,1363380
2003,Illinois,Leukemias,14.4,13.8,15.1,1785,12556006
2003,Iowa,Leukemias,16.7,15.3,18.1,557,2941999
2003,Kansas,Leukemias,14.6,13.2,16,410,2723004
2003,Kentucky,Leukemias,14.3,13.1,15.5,594,4117170
2003,Minnesota,Leukemias,14.8,13.7,15.9,742,5053572
2003,Montana,Leukemias,14.2,11.9,16.7,140,919630
2003,Nebraska,Leukemias,14.6,12.9,16.4,268,1738643
2003,New Hampshire,Leukemias,14.4,12.4,16.7,187,1279840
2003,New Jersey,Leukemias,14,13.3,14.8,1258,8601402
2003,New York,Leukemias,14.4,13.9,15,2863,19175939
2003,North Dakota,Leukemias,14.1,11.4,17.1,100,638817
2003,Oklahoma,Leukemias,17.5,16.2,18.9,639,3504892
2003,Texas,Leukemias,15.1,14.6,15.7,2872,22030931
2003,Vermont,Leukemias,14.5,11.7,17.9,92,617858
2003,Washington,Leukemias,14.2,13.3,15.2,839,6104115
2003,Wisconsin,Leukemias,15.7,14.7,16.7,891,5479203
2004,District of Columbia,Leukemias,8.3,6,11.1,46,567754
2004,Arizona,Leukemias,10.2,9.4,11.1,588,5652404
2004,Hawaii,Leukemias,10.6,9,12.5,146,1273569
2004,Maryland,Leukemias,9.8,9,10.7,532,5546935
2004,Wyoming,Leukemias,10.7,8,13.9,55,509106
2004,Alabama,Leukemias,11.2,10.3,12.2,536,4530729
2004,Delaware,Leukemias,11.6,9.4,14.1,100,830803
2004,Oregon,Leukemias,11.1,10,12.2,415,3569463
2004,Virginia,Leukemias,11.1,10.4,11.9,801,7475575
2004,Arkansas,Leukemias,11.9,10.7,13.2,352,2749686
2004,California,Leukemias,12.6,12.2,13,4119,35574576
2004,Connecticut,Leukemias,12.1,11,13.3,459,3496094
2004,Louisiana,Leukemias,12.5,11.5,13.6,554,4552238
2004,Mississippi,Leukemias,11.7,10.4,13,332,2889010
2004,Ohio,Leukemias,12.5,11.9,13.2,1507,11452251
2004,Alaska,Leukemias,12.9,9.5,17,58,659286
2004,Georgia,Leukemias,13.6,12.8,14.4,1037,8769252
2004,Indiana,Leukemias,13.6,12.7,14.5,852,6233007
2004,Kentucky,Leukemias,13.9,12.8,15,582,4146101
2004,Massachusetts,Leukemias,13,12.1,13.9,880,6412281
2004,Missouri,Leukemias,13.6,12.7,14.5,830,5747741
2004,New Mexico,Leukemias,13,11.4,14.8,246,1903808
2004,North Carolina,Leukemias,12.7,12,13.5,1085,8553152
2004,North Dakota,Leukemias,12.8,10.3,15.7,93,644705
2004,Pennsylvania,Leukemias,13.7,13.1,14.3,1957,12410722
2004,South Carolina,Leukemias,13.5,12.4,14.7,572,4210921
2004,Tennessee,Leukemias,12.7,11.9,13.7,760,5910809
2004,Colorado,Leukemias,14.1,12.9,15.3,578,4575013
2004,Florida,Leukemias,14.2,13.7,14.7,2994,17415318
2004,Idaho,Leukemias,14.3,12.3,16.5,191,1391802
2004,Illinois,Leukemias,14.4,13.7,15.1,1805,12589773
2004,Iowa,Leukemias,16.4,15,17.8,549,2953635
2004,Kansas,Leukemias,14.6,13.2,16,415,2734373
2004,Maine,Leukemias,15.7,13.7,17.8,235,1313688
2004,Michigan,Leukemias,14.6,13.9,15.4,1494,10055315
2004,Minnesota,Leukemias,16.6,15.5,17.7,846,5087713
2004,Montana,Leukemias,14.9,12.6,17.6,151,930009
2004,Nebraska,Leukemias,15.1,13.4,17,279,1749370
2004,Nevada,Leukemias,15.2,13.6,17,331,2346222
2004,New Hampshire,Leukemias,15,13,17.3,199,1290121
2004,New Jersey,Leukemias,14.6,13.8,15.4,1317,8634561
2004,New York,Leukemias,14.5,14,15,2899,19171567
2004,Oklahoma,Leukemias,15.1,13.8,16.4,550,3525233
2004,Rhode Island,Leukemias,15.5,13.3,18,183,1074579
2004,South Dakota,Leukemias,16.8,14.2,19.9,142,770396
2004,Texas,Leukemias,14.9,14.4,15.5,2895,22394023
2004,Utah,Leukemias,14.1,12.4,15.9,262,2401580
2004,Vermont,Leukemias,17.6,14.4,21.2,113,619920
2004,Washington,Leukemias,14.9,13.9,15.9,895,6178645
