Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
2001,Delaware,Melanomas of the Skin,20.8,17.8,24.2,170,795699
2001,Florida,Melanomas of the Skin,19,18.4,19.7,3679,16356966
2001,Georgia,Melanomas of the Skin,18.6,17.6,19.6,1413,8377038
2001,Idaho,Melanomas of the Skin,19.8,17.4,22.5,245,1319962
2001,Iowa,Melanomas of the Skin,19.6,18.1,21.3,607,2931997
2001,Maryland,Melanomas of the Skin,19.8,18.6,21,1049,5374691
2001,Michigan,Melanomas of the Skin,18.8,18,19.7,1875,9991120
2001,Minnesota,Melanomas of the Skin,18.8,17.6,20.1,925,4982796
2001,Montana,Melanomas of the Skin,17.5,14.9,20.4,168,906961
2001,Nevada,Melanomas of the Skin,18,16.2,20,364,2098399
2001,New Jersey,Melanomas of the Skin,18.5,17.6,19.4,1630,8492671
2001,New Mexico,Melanomas of the Skin,19.6,17.6,21.8,350,1831690
2001,Connecticut,Melanomas of the Skin,23.7,22.2,25.4,862,3432835
2001,Kentucky,Melanomas of the Skin,22.2,20.8,23.7,916,4068132
2001,Maine,Melanomas of the Skin,21,18.7,23.6,295,1285692
2001,Massachusetts,Melanomas of the Skin,21.5,20.4,22.6,1431,6397634
2001,Mississippi,Melanomas of the Skin,null,null,null,Data Suppressed,null
2001,New Hampshire,Melanomas of the Skin,23.8,21.2,26.6,304,1255517
2001,Oregon,Melanomas of the Skin,24.2,22.6,25.9,862,3467937
2001,Rhode Island,Melanomas of the Skin,22.7,20,25.7,258,1057142
2001,Utah,Melanomas of the Skin,21.7,19.5,24,382,2283715
2001,Vermont,Melanomas of the Skin,22.6,19,26.6,145,612223
2001,Washington,Melanomas of the Skin,23,21.8,24.3,1349,5985722
2001,Wyoming,Melanomas of the Skin,22.7,18.7,27.3,114,494657
2002,District of Columbia,Melanomas of the Skin,8.9,6.6,11.6,52,573158
2002,North Dakota,Melanomas of the Skin,10.5,8.1,13.2,71,638168
2002,Arkansas,Melanomas of the Skin,10.8,9.6,12.1,307,2705927
2002,Louisiana,Melanomas of the Skin,11.1,10.1,12.1,479,4497267
2002,Missouri,Melanomas of the Skin,12.7,11.8,13.6,747,5674825
2002,Tennessee,Melanomas of the Skin,11.6,10.7,12.5,689,5795918
2002,Alabama,Melanomas of the Skin,13.5,12.4,14.6,623,4480089
2002,Alaska,Melanomas of the Skin,12.8,9.7,16.6,70,642337
2002,Illinois,Melanomas of the Skin,13.5,12.8,14.1,1660,12525556
2002,New York,Melanomas of the Skin,13.1,12.6,13.7,2588,19137800
2002,Texas,Melanomas of the Skin,14.6,14.1,15.2,2823,21690325
2002,Delaware,Melanomas of the Skin,16.1,13.5,19.1,135,806169
2002,Hawaii,Melanomas of the Skin,17.3,15.2,19.8,227,1239613
2002,Indiana,Melanomas of the Skin,17.1,16.1,18.2,1052,6155967
2002,Minnesota,Melanomas of the Skin,17,15.8,18.1,848,5018935
2002,Montana,Melanomas of the Skin,16.9,14.4,19.7,161,911667
2002,North Carolina,Melanomas of the Skin,16.2,15.4,17.1,1356,8326201
2002,Ohio,Melanomas of the Skin,16.8,16.1,17.6,1993,11407889
2002,Oklahoma,Melanomas of the Skin,14.8,13.6,16.1,530,3489080
2002,Pennsylvania,Melanomas of the Skin,17.2,16.5,17.9,2342,12331031
2002,West Virginia,Melanomas of the Skin,16.9,15.2,18.8,345,1805414
2002,Wisconsin,Melanomas of the Skin,15.2,14.2,16.3,847,5445162
2002,Wyoming,Melanomas of the Skin,15.9,12.5,19.8,78,500017
2002,Arizona,Melanomas of the Skin,19.8,18.6,21,1061,5396255
2002,California,Melanomas of the Skin,18.9,18.4,19.3,6058,34871843
2002,Florida,Melanomas of the Skin,19.4,18.8,20,3843,16689370
2002,Georgia,Melanomas of the Skin,19.8,18.8,20.8,1524,8508256
2002,Iowa,Melanomas of the Skin,18.8,17.3,20.4,584,2934234
2002,Kansas,Melanomas of the Skin,18.6,17,20.3,508,2713535
2002,Kentucky,Melanomas of the Skin,19.1,17.8,20.4,799,4089875
2002,Michigan,Melanomas of the Skin,18.7,17.9,19.6,1886,10015710
2002,Nebraska,Melanomas of the Skin,17.5,15.6,19.6,305,1728292
2002,Nevada,Melanomas of the Skin,17.5,15.7,19.4,376,2173791
2002,New Jersey,Melanomas of the Skin,20.8,19.9,21.8,1856,8552643
2002,New Mexico,Melanomas of the Skin,17.8,15.9,19.9,322,1855309
2002,South Carolina,Melanomas of the Skin,19.8,18.5,21.2,822,4107795
2002,South Dakota,Melanomas of the Skin,18.7,15.8,22,149,760020
2002,Virginia,Melanomas of the Skin,17.4,16.4,18.4,1255,7286873
2002,Colorado,Melanomas of the Skin,21.5,20.1,22.9,906,4490406
2002,Connecticut,Melanomas of the Skin,20.9,19.4,22.4,774,3458749
2002,Idaho,Melanomas of the Skin,20.9,18.4,23.5,267,1340372
2002,Maine,Melanomas of the Skin,21.5,19.2,24.1,309,1295960
2002,Maryland,Melanomas of the Skin,21.7,20.5,23,1185,5440389
2002,Massachusetts,Melanomas of the Skin,22.7,21.5,23.8,1526,6417206
2002,Mississippi,Melanomas of the Skin,null,null,null,Data Suppressed,null
2002,New Hampshire,Melanomas of the Skin,29.4,26.6,32.6,381,1269089
2002,Oregon,Melanomas of the Skin,23.7,22.1,25.3,865,3513424
2002,Rhode Island,Melanomas of the Skin,26.7,23.7,29.9,301,1065995
2002,Utah,Melanomas of the Skin,20.9,18.9,23.2,384,2324815
2002,Vermont,Melanomas of the Skin,26.6,22.7,30.9,170,615442
2002,Washington,Melanomas of the Skin,22.5,21.3,23.7,1341,6052349
2003,District of Columbia,Melanomas of the Skin,8.7,6.5,11.5,52,568502
2003,Louisiana,Melanomas of the Skin,10.4,9.5,11.4,460,4521042
2003,Arkansas,Melanomas of the Skin,11.3,10.1,12.6,330,2724816
