County,Stroke_IR
"Bond County, Illinois",86.00
"Bonner County, Idaho",86.50
"Bonneville County, Idaho",59.80
"Boone County, Arkansas",76.60
"Boone County, Iowa",62.20
"Boone County, Illinois",73.20
"Boone County, Indiana",87.20
"Boone County, Kentucky",75.10
"Boone County, Missouri",75.00
"Boone County, Nebraska",63.10
"Boone County, West Virginia",82.70
"Borden County, Texas",89.00
"Bosque County, Texas",93.40
"Bossier Parish County, Louisiana",96.80
"Botetourt County, Virginia",73.10
"Bottineau County, North Dakota",77.10
"Boulder County, Colorado",65.80
"Boundary County, Idaho",85.80
"Bourbon County, Kansas",86.10
"Bourbon County, Kentucky",79.90
"Bowie County, Texas",107.20
"Bowman County, North Dakota",80.00
"Box Butte County, Nebraska",69.60
"Box Elder County, Utah",87.10
"Boyd County, Kentucky",87.10
"Boyd County, Nebraska",83.40
"Boyle County, Kentucky",72.60
"Bracken County, Kentucky",102.20
"Bradford County, Florida",70.80
"Bradford County, Pennsylvania",65.20
"Bradley County, Arkansas",111.10
"Bradley County, Tennessee",95.70
"Branch County, Michigan",87.20
"Brantley County, Georgia",65.70
"Braxton County, West Virginia",88.50
"Brazoria County, Texas",81.40
"Brazos County, Texas",76.70
"Breathitt County, Kentucky",91.80
"Breckinridge County, Kentucky",77.70
"Bremer County, Iowa",60.20
"Brevard County, Florida",73.40
"Brewster County, Texas",67.20
"Briscoe County, Texas",105.80
"Bristol Bay County, Alaska",
"Bristol City County, Virginia",89.60
"Bristol County, Massachusetts",56.00
"Bristol County, Rhode Island",55.50
"Broadwater County, Montana",57.30
"Bronx County, New York",47.90
"Brooke County, West Virginia",76.80
"Brookings County, South Dakota",89.80
"Brooks County, Georgia",89.90
"Brooks County, Texas",58.50
"Broome County, New York",60.70
"Broomfield County, Colorado",67.10
"Broward County, Florida",106.60
"Brown County, Illinois",63.80
"Brown County, Indiana",70.20
"Brown County, Kansas",97.40
"Brown County, Minnesota",65.30
"Brown County, Nebraska",88.20
"Brown County, Ohio",101.10
"Brown County, South Dakota",74.10
